Brand,Model,Variant,Engine Type,Displacement,Max Power,Max Torque,Turbo Charger,Transmission Type,Gearbox,Drive Type
Hyundai,Alcazar 2021-2024,1.5 Signature (O) 7-Seater Diesel AT,1.5 l diesel CRDi engine,1498 cc,113.42bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Platinum (O) 7-Seater Diesel AT BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Platinum (O) AT,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191Nm@4500rpm,No,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Platinum (O) Turbo DCT,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Hyundai,Alcazar 2021-2024,Platinum (O) Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Alcazar 2021-2024,Platinum (O) Diesel AT BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Platinum (O) Turbo DCT 7 Seater,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Hyundai,Alcazar 2021-2024,Platinum (O) Turbo DCT 7 Seater BSVI,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-speed DCT,
Hyundai,Alcazar 2021-2024,Platinum 7-Seater,2.0 l petrol MPi engine,1999 cc,156.82bhp@6500rpm,191nm@4500rpm,No,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Platinum (O) Turbo DCT BSVI,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-speed DCT,
Hyundai,Alcazar 2021-2024,Platinum 7-Seater AT,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Platinum 7-Seater Diesel,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Alcazar 2021-2024,Platinum 7-Seater Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Platinum 7-Seater Diesel BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Platinum AE 7Str Diesel,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Alcazar 2021-2024,Platinum AE Turbo 7Str,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-Speed,FWD
Hyundai,Alcazar 2021-2024,Platinum AT,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Platinum Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Platinum Turbo 7 Seater,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-Speed,FWD
Hyundai,Alcazar 2021-2024,Platinum Turbo 7 Seater BSVI,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Prestige,2.0L Petrol Engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Manual,6 Speed,
Hyundai,Alcazar 2021-2024,Prestige (O) 7-Seater Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Alcazar 2021-2024,Prestige (O) 7-Seater Diesel AT BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Prestige 7-Seater,2.0 l petrol MPi engine,1999 cc,156.82bhp@6500rpm,191nm@4500rpm,No,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Prestige 7-Seater Diesel,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-Speed,FWD
Hyundai,Alcazar 2021-2024,Prestige 7-Seater Diesel 2021-2022,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Prestige (O) 7-Str Diesel AT,1.5 l diesel CRDi engine,1498 cc,113.42bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Prestige 7-Seater Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Prestige 7-Seater Diesel AT 2021-2022,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Prestige 7-Seater Diesel BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Prestige AT,2.0L Petrol Engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Automatic,6 Speed,
Hyundai,Alcazar 2021-2024,Prestige Executive 7-Seater,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Prestige Diesel,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Prestige Executive 7-Seater Diesel,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Prestige Executive 7-Seater Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Prestige Executive Diesel,1.5 l diesel CRDi engine,1493 cc,113.42bhp@4000rpm,250nm@1500-2750rpm,Yes,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Prestige Turbo 7 Seater BSVI,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Prestige Turbo 7 Seater,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Manual,6-Speed,FWD
Hyundai,Alcazar 2021-2024,Signature,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Manual,6-speed,
Hyundai,Alcazar 2021-2024,Signature (O) 7-Seater AT,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature (O) 7-Seater Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) AE 7Str Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) 7-Seater Diesel AT BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature (O) AE Turbo 7Str DCT,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) AE 7Str Diesel DT AT,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) AE Turbo 7Str DT DCT,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) AT,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature (O) Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) Dual Tone Diesel AT,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-Speed AT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) Diesel AT BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature (O) Dual Tone Diesel AT BSVI,1.5 l diesel CRDi engine,1493 cc,113.98bhp@4000rpm,250Nm@1500-2750rpm,Yes,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature (O) Dual Tone Turbo DCT,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) Dual Tone Turbo DCT BSVI,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-speed DCT,
Hyundai,Alcazar 2021-2024,Signature (O) Turbo DCT 7 Seater,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) Turbo DCT,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-Speed DCT,FWD
Hyundai,Alcazar 2021-2024,Signature (O) Turbo DCT 7 Seater BSVI,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-speed DCT,
Hyundai,Alcazar 2021-2024,Signature (O) Turbo DCT BSVI,1.5 l Turbo GDi Petrol,1482 cc,157.57bhp@5500rpm,253Nm@1500-3500rpm,Yes,Automatic,7-speed DCT,
Hyundai,Alcazar 2021-2024,Signature 7-Seater AT,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Automatic,6-speed,
Hyundai,Alcazar 2021-2024,Signature AT,2.0 l petrol MPi engine,1999 cc,156.9bhp@6500rpm,191nm@4500rpm,No,Automatic,6-speed,
